DIA;PAIS;DEPARTAMENTO;CASOS;MUERTES;CURADOS;MOBILITY_REPORT
06/03/2020;PE;LIMA;1;0;0;0
07/03/2020;PE;LIMA;5;0;0;0
09/03/2020;PE;AREQUIPA;2;0;0;1
10/03/2020;PE;LIMA;2;0;0;0
11/03/2020;PE;HUANUCO;2;0;0;3
12/03/2020;PE;ICA;1;0;0;3
12/03/2020;PE;LIMA;4;0;0;3
13/03/2020;PE;LIMA;5;0;0;4
14/03/2020;PE;CUSCO;1;0;0;5
14/03/2020;PE;LIMA;15;0;0;5
15/03/2020;PE;LIMA;5;0;0;6
16/03/2020;PE;LAMBAYEQUE;1;0;0;13
16/03/2020;PE;LA LIBERTAD;1;0;0;14
16/03/2020;PE;ANCASH;1;0;0;11
16/03/2020;PE;CALLAO;2;0;0;23
16/03/2020;PE;PIURA;2;0;0;13
16/03/2020;PE;LIMA;21;0;0;25
17/03/2020;PE;CALLAO;1;0;0;37
17/03/2020;PE;LAMBAYEQUE;2;0;0;29
17/03/2020;PE;LIMA;12;0;0;39
18/03/2020;PE;LORETO;1;0;0;27
18/03/2020;PE;CALLAO;1;0;0;40
18/03/2020;PE;LAMBAYEQUE;3;0;0;32
18/03/2020;PE;LIMA;26;0;1;42
19/03/2020;PE;CALLAO;1;0;0;42
19/03/2020;PE;LA LIBERTAD;1;0;0;34
19/03/2020;PE;ANCASH;1;0;0;31
19/03/2020;PE;MADRE DE DIOS;1;0;0;-58
19/03/2020;PE;LORETO;9;0;0;30
19/03/2020;PE;LIMA;15;0;0;45
20/03/2020;PE;LORETO;1;0;0;30
20/03/2020;PE;AREQUIPA;1;0;0;41
20/03/2020;PE;ANCASH;1;0;0;33
20/03/2020;PE;CUSCO;3;0;0;42
20/03/2020;PE;LIMA;83;3;0;47
21/03/2020;PE;LORETO;1;0;0;27
21/03/2020;PE;ANCASH;1;0;0;30
21/03/2020;PE;JUNIN;9;0;0;36
21/03/2020;PE;LIMA;18;1;0;38
22/03/2020;PE;CALLAO;1;0;0;27
22/03/2020;PE;AREQUIPA;1;0;0;29
22/03/2020;PE;JUNIN;1;0;0;30
22/03/2020;PE;LAMBAYEQUE;2;0;0;26
22/03/2020;PE;LORETO;3;0;0;23
22/03/2020;PE;LA LIBERTAD;3;0;0;27
22/03/2020;PE;PIURA;16;1;0;27
22/03/2020;PE;LIMA;29;0;0;29
23/03/2020;PE;LORETO;1;0;0;30
23/03/2020;PE;PIURA;1;0;0;34
23/03/2020;PE;AREQUIPA;3;0;0;38
23/03/2020;PE;LIMA;37;0;0;44
24/03/2020;PE;SAN MARTIN;1;0;0;0
24/03/2020;PE;LIMA;29;0;0;44
25/03/2020;PE;ICA;1;0;0;34
25/03/2020;PE;CALLAO;2;0;0;42
25/03/2020;PE;CUSCO;2;0;0;39
25/03/2020;PE;AREQUIPA;2;0;0;38
25/03/2020;PE;TUMBES;3;0;0;0
25/03/2020;PE;LIMA;15;1;0;44
25/03/2020;PE;LA LIBERTAD;;1;0;34
26/03/2020;PE;AREQUIPA;1;0;0;38
26/03/2020;PE;JUNIN;1;0;0;36
26/03/2020;PE;LA LIBERTAD;1;0;0;34
26/03/2020;PE;ANCASH;1;0;0;32
26/03/2020;PE;CAJAMARCA;1;0;0;32
26/03/2020;PE;LORETO;2;0;0;28
26/03/2020;PE;CALLAO;2;0;0;41
26/03/2020;PE;LAMBAYEQUE;4;0;0;33
26/03/2020;PE;CUSCO;4;1;0;39
26/03/2020;PE;LIMA;47;1;0;44
27/03/2020;PE;LAMBAYEQUE;1;1;0;35
27/03/2020;PE;PIURA;1;0;0;33
27/03/2020;PE;JUNIN;1;0;0;37
27/03/2020;PE;ANCASH;1;0;0;33
27/03/2020;PE;ICA;1;0;0;34
27/03/2020;PE;PASCO;1;0;0;-50
27/03/2020;PE;TUMBES;2;0;0;0
27/03/2020;PE;HUANUCO;2;0;0;32
27/03/2020;PE;LA LIBERTAD;3;1;0;36
27/03/2020;PE;LORETO;5;0;0;29
27/03/2020;PE;AREQUIPA;5;0;0;40
27/03/2020;PE;CALLAO;7;0;0;43
27/03/2020;PE;LIMA;125;2;7;46
27/03/2020;PE;CUSCO;0;0;5;40
28/03/2020;PE;CALLAO;1;1;0;35
28/03/2020;PE;CUSCO;1;1;0;38
28/03/2020;PE;LA LIBERTAD;1;0;0;33
28/03/2020;PE;TUMBES;1;0;0;0
28/03/2020;PE;ICA;1;0;0;32
28/03/2020;PE;SAN MARTIN;1;0;0;
28/03/2020;PE;LAMBAYEQUE;2;0;0;32
28/03/2020;PE;LORETO;4;0;0;28
28/03/2020;PE;LIMA;24;2;0;37
29/03/2020;PE;PIURA;1;0;0;28
29/03/2020;PE;JUNIN;1;0;0;30
29/03/2020;PE;ICA;1;0;0;28
29/03/2020;PE;SAN MARTIN;1;0;0;
29/03/2020;PE;TACNA;1;0;0;29
29/03/2020;PE;AYACUCHO;1;0;0;
29/03/2020;PE;TUMBES;2;0;0;0
29/03/2020;PE;LA LIBERTAD;3;0;0;28
29/03/2020;PE;CALLAO;6;0;0;27
29/03/2020;PE;CUSCO;6;0;0;31
29/03/2020;PE;LAMBAYEQUE;7;0;0;27
29/03/2020;PE;LORETO;25;0;0;25
29/03/2020;PE;LIMA;126;0;2;29
29/03/2020;PE;ANCASH;0;1;0;27
30/03/2020;PE;LORETO;1;2;0;30
30/03/2020;PE;LA LIBERTAD;2;0;0;34
30/03/2020;PE;SAN MARTIN;2;0;0;0
30/03/2020;PE;ANCASH;5;0;0;31
30/03/2020;PE;AREQUIPA;6;0;0;36
30/03/2020;PE;CUSCO;8;0;0;39
30/03/2020;PE;LIMA;74;3;307;42
30/03/2020;PE;CALLAO;0;1;0;39
31/03/2020;PE;CUSCO;1;0;0;37
31/03/2020;PE;CALLAO;1;1;0;39
31/03/2020;PE;SAN MARTIN;1;1;0;0
31/03/2020;PE;TACNA;1;0;0;36
31/03/2020;PE;TUMBES;2;1;0;0
